,keluhan
2236,min mau nanya kalau mau buat ktp baru apa aja min yang perlu bawa lalu kalau di siola berapa lama ya min proses buat sapawargasby
2237,sapawargasby ken takon fungsi ne endog2an pinggir dal opo min banggasurabaya e100ss sits dishubsby
2238,info jadwal berangkat donk untuk bus merah pemkot surabaya yg lagi nge-hits
2239,taman surabaya ini kok banyak sampah ya sapawargasby
2240,temu lansia lantar demensia sutrisno usia 63 thn ciri tuna wicara alamat kupang gunung barat 1 1 -c rt 008 009 kel desa putat jaya kec sawah kota surabaya jawa timur saat ini ada di psbi bd2 cipayung jakarta timur hub 085715331013 wendy
2241,kami keluarga coba naik suroboyo bus hari ini bus nyaman saat jalan ke purabaya sayang bus ngetem lama di purabaya satu jam-an 11 35-12 39 dgn ac on dan pintu buka di terminal tanpa ada jelas apa dr awak bus saat jalan dari purabaya di dalam bus asa pengap mungkin krn tdk semua salur ac buka ide suroboyo bus bagus hanya layan agar terus tingkat jaga
2242,sapawargasby min tadi ada 5orang dan ada perempuan2 1berbadan tegap minta sumbang agak paksa di jl tegalsari padahal kntr http libur search by google ini tipu dimana2 langsungbtembak 100rb
2243,cc sapawargasby banyak yg komplain nih sudah sejak bulan desember kok masih belum tangan sementara aspal kan bisa tho seperti lintas yg lain gak nunggu pake besi baja lintas jl ketintang aja sudah aspal aluss
2244,sapawargasby mau tanya masalah suket ganti ktp suket anak saya hilang tapi sudah lebih 6 bulan mau urus ktp ke camat harus minta srt hilang dr polisi apa benar hrs begitu pdhl suket sdh hbs masa laku mhn jelas trims
2245,beasiswa itu mksdx bgmn min tanggung sepenuh smpe lulus atau bgmn
2246,selamat pagi saya adik dari bpk gunawan yg jadi duduk surabaya tinggal di jl gubeng kertajaya 2 e karena kakak saya sakit di jakarta maka beliau utus saya pergi ke surabaya untuk minta tanda tangan rt rw lurah dan camat dengan bawa surat terang yang sudah di ttd kakak saya atas materai 6000 akan tetap tidak bisa dapat tanda tangan dengan alasna yang beda antara rt dengan rw dan lurah tsb apakah memang harus begitu sulit untuk urus surat nyata waris di surabaya dg tidak ada kejelasna yg pasti
2247,panjang jalan kapas krampung belum traffic light banyak lubang yang sangat bahaya bagi semua jenis kendara mohon untuk segera ditindaklanjuti terima kasih
2248,
2249,asa mahal banget biaya daftar ulang di smk negeri 2 utk anak kami hampir capai 2 juta lebih masuk utk seragam dan spp bln juli gimana lok bisa begitu
2250,kapan ada lagi
2251,tolong dong jalan kapas krampung belum lampu merah kazza city jalan lubang parah sudah ada hampir 2 minggu dan ada genang air apa nunggu ada korban dulu baru baik e100ss
2252,selamat pagi terima kasih belum atas wadah adu bagi warga surabaya ini saya ingin tanya perihal parkir mobil di daerah semolowaru selatan gang 10 ada warga yang milik mobil tapi selalu parkir kendara di pinggir jalan hal ini sangat menggangu bagi warga lain karena ini rupa jalan umum dan milik sama tidak harus fasilitas umum jadi hak milik pribadi bagai parkir dengan alas tidak milik garasi keluh yang sampai kepada ketua rt pun tidak dapat tanggap mohon solusi terima kasih belum jika mungkin mohon ada tindak lanjut
2253,jalan rusak dan dapat genang air di kapas krampung
2254,
2255,tanya prosedur dan syarat untuk dapat bangku kosong di smkn 8 jurus hotel terima kasih media center
2256,
2257,nenek saya minggu lebih tidak dapat jatah makan untuk lansia dan bagai ganti beri kompensasi uang jumlah 50 ribu apakah memang benar demikian nenek saya nama hj sofiah alamat jl tukang 1 19 sby
2258,saya mau tanya kena ijazah smk anak saya yg msh tahan pihak kolak krn sy blm bisa lunas uang bayar dan sy sdh minta bantu walikota lewat surat tp sampai skr kenapa msh tdk realisasi ya
2259,
2260,jalan lubang di jln kebraon camat karang pilang sangat parah sehingga sebab kendara gelincir
2261,nenek saya minggu lebih tidak dapat jatah makan untuk lansia dan bagai ganti beri kompensasi uang jumlah 50 ribu apakah memang benar demikian nenek saya nama hj sofiah alamat jl tukang 1 19 sby
2262,klo nanti tidak ada acara reog dan bagai apakah masih tetap bayar
2263,
2264,mau tanya apakah benar minta rujuk puskesmas untuk ronsen tidak bisa
2265,
2266,ketika kendara dari arah selatan sedang henti karena lampu merah kendara dari jl kapuas juga masih henti dengan lampu merah yang sebab kendara dari 2 arah sebut bingung cc sits dishubsby e100ss sapawargasby
2267,banggasurabaya mau tanya saya ada tugas kuliah utk tahu inovasi layan publik di kota surabaya saya ambil puskesmas benowo utk ijin apa saya hrs tanya ke instansi terlbh dahulu utk diperblhkn tdk atau saya lgsg kasih surat izin ke humas puskesmas benowo lgsg
2268,sapawargasby halo nama saya kristina saya sudah sign up di mediacenter surabaya namun instruksi konfirmasi email masih tidak kirim lama 2 hari mohon bantu untuk kendala ini terima kasih
2269,mhn tanya tunjuk air mancur jemb soroboyo jam brp hari apa
2270,
2271,saya mau tanya untuk status panjang siup kami nomor 30142 th 2018 apakah sudah selesai ya pak
2272,
2273,saya mas belum laku rekam e-ktp juga
2274,
2275,min mau nanya utk nauk ke jembatan kecil di atas jembatan suroboyo apakah harus bayar 10 000 malam minggu kemarin mau naik ada yg naik retribusi mereka pakai seragan biru tulisane thp kenjeran
2276,
2277,taman harmoni sayang tpt main anak ny ada yg rusak saya ke situ tiap hr minggu krn rumah deket taman ny jg g awat sapawargasby
2278,
2279,pohon di jl rungkut asri tengah sudah terlalu lebat mohon untuk laku ramping terima kasih
2280,min dinas duduk dan catat sipil hari ini tutup jam brp ya mau urus ktp el yg data kliru
2281,apakah surat terang yang maksud benar seperti yang saya lampir mohon konfirmasi masak cetak ktp saja tahun belum selesai ya
2282,sapawargasby kok tutup sih jogging track nya padahal jogging bagus nya pas masih pagi loh kalo nunggu jam 8 ya udah panas
2283,kalo mau ikut buka lowong kerja bagaimana cara
2284,cara dapat kartu ak1 gimana min
2285,
2286,saya mau tanya saya lahir surabaya dan akta lahir saya di buat di surabaya namun saat ini akta lahir saya hilang dan posisi saya sekarang kerja di jakarta barat saya mau tanya apabila saya ingin urus akta lahir saya apakah saya harus balik ke surabaya atau bisa urus di dispenduk jakarta barat karena saya ingin meni dan nikah di jakarta dan saya harus lampir dokumen akte lahir mohon di bantu terima kasih
2287,
2288,mohon pemkot atur tegas izin diri portal tutup jalan jangan rugi orang lain belum rasa jika ada keluarga masuk ugd susah buka portal mohon portal di jalan bintang diponggo ke arah smpn 46 bongkar dan portal di dukuh kupang timur arah ke kantor lurah pakis bongkar
2289,sapawargasby e100ss mohon info surabaya bus hari ini apakah operasi
2290,saya warga margorejo kenapa saya tidak dapat undang untuk pulkada klo saya mau mulih saya tidak tahu tps mana akhir suara saya bisa manfaat oleh oknum saya dengar ada beberapa warga juga tidak dapat undang mohon perhati supaya tidak ada manipulasi suara terima kasih
2291,mgkn perlu kaji ulang utk jalur utama ry darmo waktu ijo tambah waktu merah rang infosurabaya rtmcjatim sapawargasby
2292,selamat malamuntuk e-ktp yg nomor pudar dan hampir tidak baca apakah bisa di ganti di dispendukcapil
2293,
2294,mgkn ada wrg yg pny file atau tau mksd dr 4 poin dok ini atau ada yg tau contact dispendukcapil sby sapawargasby
2295,sapawargasby mgkn ada yg pny cnth surat jamin tinggal jamin kerja untuk urus dok pindah datang dr luar kota ke sby krn di website dispendukcapil sby file tdk sedia trimakasih
2296,selamat sore kalo mau bikin e ktp tapi ktp lama hilang dan sudah ga laku apa saja langkah2 yg saya harus laku kartu keluarga sudah ada saya tinggal di daerah camat bubut terima kasih atas jawab
2297,
2298,slamat sore sudah d putus tanggal 27juni 2018 adalah hari libur nasional hubung dng pilkada tapi kenapa masih ada instansi yg beroprasional trus bagaimana hak pilih karyawan untuk pilkada jatim apakah ada sanksi untuk instansi trsebut
2299,
2300,sapawargasby kalau mau diri lab kalibrasi apakah ada izin khusus dari pemkot mohon bantu
2301,min mau tanyaapakah besok miniagrowisata milik dinas tahan pangan dan tani pemkot buka
2302,
2303,sapawargasby sore admin saya sudah register untuk account surabaya media center di web alami kendala sejak 5 hari buat acc masih blm ada email konfirmasi shg tdk bisa login bagaimana solusi ya terima kasih
2304,tanya lurr e100ss sapawargasby kalo hilang stnk trus mau urus lagi cara gmn ya maturnuwun
2305,sapawargasby ada pju mati di jl nginden semolo tepat di depan supermarket superindo dan panjang pju di depan smk untag sampai empat terminal bratang tdk di terus guna lampu led warna putih terimakasih
2306,media center saya saviria warga siwalankerto surabaya pagi ini saya sudah kontak media center via sms hotline dan telpon hotline tapi belum ada feedback boleh saya info mana saya harus minta bantu u kece jika ada indikasi ular liar yang masuk ke pekarang rumah kami apakah harus ke madam bakar atau mana mohon informasi segera terima kasihsaviria085843830434
2307,mohon tanya jika ktp hilang prosedur mohon ktp baru bagaimana langsung ke dispenduk atau mulai awal lagi ke rt rw
2308,
2309,selamat pagi admin sapawargasby mau nanya bisa ga bikin akte lahir anak tp org tua masih pisah kk terima kasih min
2310,sapawargasby mohon info dong min kalau dari stasiun sidoarjo ke hotel utami ada angkot atau kendara umum yg bisa langsung henti di depan hotel suwun
2311,sapawargasby saya ingin lapor ada selokan yang sumbat daerah siwalankerto selokan itu ada di dekat apotek siwalan tolong segera ditindaklanjuti belum jadi banjir
2312,traffic light a yani depan sma kemala bhayangkari keras suara tidak bunyi cc sits dishubsby sapawargasby
2313,sapawargasby selamat pagi min untuk urus surat terang mati apabisa laku di siola
2314,rambu lalu lintas yang tutup oleh ranting pohon sebab rambu tidak lihat jelas
2315,pju terang jalan umum di jl ikan dorang-perak barat depan kantor pt rutan sudah tidak terang lagi redup suram sehingga cukup bahaya guna jalan ingat jalan di jl ikan dorang rupa belok ke arah perak mohon untuk dapat ditindaklanjuti demi nyaman warga sekitar terima kasih
2316,
2317,salam untuk jadwal oprasional balai rt rw telah lebaran ini mulai beroprasi kembali tanggal berapa karna tadi sore saya ke balai rw untuk urus surat kok masih tutup apakah masih libur ya terima kasih
2318,dulur sapawargasby mohon info tempat makam hewan mana ya
2319,proyek lambat atau mangkrak di jl jarak banyak debu mengangu warga
2320,ada jalan lubang di jalan dharmahusada indah ii yang bahaya para guna jalan utama kendara sepeda motor yang tidak lihat ada lubang situ
2321,
2322,sapawargasby sodara sy sedang urus akta waris di lurah tambaksari tp sulit pdhl info akhir birokrasi sudah benah dan mudah mhn arah dan bantu
2323,jalan rusak di jalan sidodadi depan ekspedisi barokah samping soto ayam cak bowo
2324,
2325,surat terang dengan barcode seperti apa min mohon cerah matur nuwun
2326,jalan yang kurang rata dan bolong - bolong
2327,barusan lewat jl biliton trotoar baru yang lebar di depan ud sukoharjo itu dipake parkir mobil parkir arah jalan tapi di atas trotoar eman trotoar nek rusak yok opo sapawargasby e100ss
2328,saya beri informasi bahwa dapat jalan rusak dan berlobang di jalan masjid al-akbar utara saya lapor ini di karena banyak mobil dan motor yang hindar lobang itu dan buat kendara dari arah lawan harus henti dadak di karena harus beri jalan
2329,
2330,banggasurabaya halo min mau tanya untuk suroboyo bus jalan seperti biasa kah karena di jatim expo tutup jd mungkin ganggu rute nya trims
2331,nhaa hayoo jawapos gmn pemkot sby e100ss jawapos sapawargasby
2332,pagi mind e100ss sapawargasby listrik di wilayah rw02 tembok gede saat ini padam apa benar lagi ada madam
2333,tolong baik jalan yang lubang di panjang jl jagir wonokromo mulai dari depan kantor dirjen pajak sampai di ujung empat
2334,
2335,dapat lubang yang cukup besar di empat jalan tenggilis tuju jalan raya kendangsari tepat di depan ruko walaupun tidak hujan air selalu genang di sana
2336,
2337,lubang di jalan raya mayan besar ban mobil saya bendol langsung padhalan tidak cepat nyetirnya
2338,dapat banyak lubang kecil serta aspal yang pecah dan panjang jalan jagir wonokromo dapat beberapa titik yang aspal tidak rata naik-turun dapat juga beberapa titik yang aspal sudah baik namun tidak cara seluruh sehingga timbul lapis aspal yang baru dan sebab kondisi jalan yang naik-turun ingat jalan sebut sering pakai untuk aktivitas kendara motor masyarakat kota surabaya dalam aktivitas hari serta rupa salah satu jalan alternatif maka mohon pihak perintah kota dapat segera baik kondisi jalan sebut agar tidak menganggu aktivitas masyarakat yang lalu jalan sebut
2339,
2340,e100ss lampu pju panjang jalan kertajaya indah banyak yg padam yg nyala cuma 30 nya saja tolong sampai ke kawan dishub pematusan
2341,jalan bolong di empat
2342,sapawargasby min mau tanya jadwal bus jurus sby-jepara dari bungurasih jam berapa aja ya thks
2343,ada jln lubang yang dapat bahaya guna jalan utama sepeda motor jalan lubang ada di depan salon telah toko bangun
2344,jalan rusak di jl siwalankerto timur 147 depan photocopy srikana jayamohon segera benar karena dapat bahaya para guna motor dan warga sekitar karena jika lewat motor dapat akibat celaka jika tidak terlalu kuat untuk pegang
2345,
2346,saya dan suami urus ktp baru telah meni ktp saya dan suami sudah e ktp saya urus di camat wonokromo pada november 2017 tugas e ktp camat wonokromo nama ibu kartini kata ktp kami akan jadi pada bulan april 2018 namun sampai juni 2018 ktp kami belum jadi kami di janji kembali pada juli 2018 padahal kami sudah tunggu lebih dari tengah tahun tugas sebut kata bahwa ktp kami baru akan di aju lama tengah tahun apa yang di kerja mohon bu risma tindak lanjut keluh kami di camat wonokromo selain itu bu kartini yg khusus urus urus ktp turut saya sikap tidak ramah dab kes kasar saat hadap masyarakat
2347,
2348,dapat lubang besar di putar balik dan sangat ganggu karena besar sekali
2349,selokan di jalan siwalankerto tepat depan apotek siwalan sumbat oleh sampah hal sebut dapat sebab banjir dan selokan tidak dapat fungsi kembali mohon untuk segera ditindaklanjuti terima kasih
2350,
2351,mohon info dulur samsat corner yg buka di mall mana saja ya royal galaxy atau ptc buka
2352,sapawargasby apakah website media center tidak bisa guna saat ini mohon jawab terima kasih
2353,tolong di check pju di ir soekarno merr kalijudan memang nyala tapi terang sangat tidak pada di beberapa bagi juga ada yang mati sapawargasby
2354,tagih pdam bengkak bln apr dan mei sudah selesai tp ketika byr juni jadi lagi krn saya catat di papan meter jadi ini utk 2 rumah dgn kondisi rumah pertama milik alm ortu dan kondisi kosong krn hendak jual sedang rumah ke2 posisi saya tinggal sendiri dan kerja mohon solusi krn saya ikat jam kantor dan butuh mudah utk byr tagih pdam
2355,jalan lubang di jalan siwalankerto permai arah ke snc
2356,
2357,baik terima kasih cak min tuk kasus ktp rusak apa boleh aju ganti ktp
2358,saya ridho warga domisili gresik yg tinggal kontrak di daerah sby barat sukomanunggal pak rt di tempat saya sudah tebar ancam kepada saya dan keluarga saya karena sangat ingin usir bantu saya karena ada masalah pribadi dengan bantu saya cinta di tolak sedang saya masih sangat2 butuh tenaga bantu saya karena saya dan istri posisi kerja dua2nya pak rt datang ke rumah dan marah2 dan tebar ancam pak mul nama rtnya
