,keluhan_clean
2009,keluh jalan rusak jalan rungkut madya empat mer arah purimas ganggu jalan
2010,panjang sim c ganti domisili ganti alamat tempat tinggal apa syarat gak penpanjangnya siola
2011,jalan rusak lubang depan mcd rungkut jalan gelombang lubang
2012,hai sapawargasby info sim keliling wilayah surabaya sore ya terima kasih
2013,e100ss sapawargasby infosurabaya syarat urus skck umur 58 apa yaa trims jawab moga puasa rizqinya nya lancar terus
2014,phk sangon bgaimana
2015,assamu akum wr wb warga rt 01 rw 01 lurah rungkut menaggal camat gunung anyar kota surabaya lapor adu perintah kota surabaya 1 ada surat mohon tunjang hari raya thr laku urus rt tuju warga punya rumah kontra atau kamar kos-kosan buat sebut atas rasa resah warga mohon tindak perintah kota surabaya hormat a miftahul amin s h i m sos nomor hp 085746464357
2016,ingin lapor kali panjang jalan raya margomulyo dapat banyak sampah mohon perhati tindak dinas bersih kota surabaya terima kasih
2017,sapawargasby e100ss polrestabessby subuh tadi 01 00wib petas besar dengar daerah jl raya darmo baru barat
2018,dear media center surabaya 2 tahun lalu tepat tahun 2016 laku rekam e ktp lurah tanggal 1 bulan kemudian beri surat kuasa orang tua ambil e ktp lurah orang lurah info apabila jadi harus ambil dispenduk no resi kerja jakarta hingga ini sempat ambil no resi sebut coba minta keluarga tanya lurah bantu ecek e ktp sudah jadi jawab orang lurah belum jadi mohon bantu e ktp hingga ini belum juga jadi perlu e ktp mau meni ktp lama jadi mohon untuk bantu karena saya gak mungkin tiap bulan pulang pergi jakarta surabaya untuk urus e ktp sedang saya bisa pulang surabaya libur lebaran mohon bantu untuk perihal saya terima kasih
2019,min pajak kendara ku sepeda arep matek carane piye
2020,selamat siang mohon tanya kalau mau beri sarat satpas colombo sini bisa harus lapor mana terima kasih
2021,min minta lampu terang jalan depan ngagel tama no a8 mati mulai hari sabtu kemaren sapawargasby
2022,jalan rusak walaupun skala ringan ganggu guna jalan khusus motor
2023,yang nama bawah nama adhy wibawatanggal lahir 20 november 1987nik 3578222011870001alamat jl cipta tanggal 1 blok 16-c2 - surabayakec tanggal kel gayung rt 009 rw 005 kodepos 60234 nomor hp 0858-1334-7101 0882-1221-3483perihal 2 tahun lalu tepat tahun 2016 laku rekam e ktp lurah tanggal 1 bulan kemudian beri surat kuasa orang tua ambil e-ktp camat pihak camat selalu info apabila jadi harus ambil dispenduk no resi kerja jakarta hingga sempat ambil no resi sebut coba minta keluarga tanya camat tempat bantu ecek e ktp jadi belum jawab pihak camat selalu info apabila e-ktp belum jadi mohon bantu e ktp hingga ini belum juga jadi mau urus nikah juga perlu urus dokumen dokumen seperti urus kpr pihak bank minta e-ktp sedang ktp lama sudah mati bantu perihal ini selain perlu e ktp mau meni bulan september ktp saya lama sudah mati karena saya meni bukan surabaya pontianak di diam calon istri saya jadi mohon untuk bantu karena saya gak mungkin tiap bulan pulang pergi jakarta surabaya untuk urus e ktp sedang saya bisa pulang surabaya libur lebaran mohon di bantu untuk perihal saya terima kasih
2024,slogan adalah prioritas tapi kami prioritas kronologis hari minggu tanggal 3 juni 2018 keluarga naik kereta api natar singosari pukul 12 57 wib tuju kesurabaya stasiun gubeng surabayasaat keluarga mau turun kereta api tanda2 kemudian kereta api berangkat sendiri sedang keluarga masih ada yg tinggal dalam kereta dan hampir salah satu keluarga hampir jatuh padahal dalam kereta ada pemberitahuan tumpang boleh turun kereta benar2 henti sempurna bagai tumpang setia kereta api benar2 kecewa atas jadi sebut mohon di tindak lanjut jadi sebut ulang pada orang keluarga lagi nb di cek cctv jadi pukul 15 07 tgl 3 juni 2018 di stasiun gubeng daops 8 surabaya
2025,mau lapor beberapa pju mati jl bawean mohon segera ditindaklanjuti jalan jadi sangat gelap dapat bahaya jalan terima kasih
2026,selamat malam media center adu sy ada tanggap memang pihak lurah blm d konfirmasi gmn
2027,sapawargasby kk 2018 kok ga buat regristrasi kartu perdana knapa y
2028,tadi jam 3 sore sim corner tunjung plaza tutup tanya nyata nomor antri habis padahal umum buka jam 5 sore
2029,bos kapan keluh sampai detik hari belum baik lubang uda 2 minggu lebih nunggu korban baru tuntut jalan rusak jl pahlawan
2030,barusan pulang sim corner tp antri nyata blanko sim nya habis suruh balik besok lusa cc e100ss sapawargasby hoofdbureauid
2031,banggasurabaya mimin nanya dong apa benar informasi yah mohon konfirmasi dong kalau terima kasih banyak bingung mau tanya mana hahahaha
2032,sapawargasby nunut takon min kalo udah punya ktp yang lembar trus mau ganti e-ktp yg asli bisa atw ada blangko ktpnya ga
2033,ibu bapak yg hormat minta untuk segera tertib jukir liar ter utama seluruh mini market padahal bebas parkir kena biaya parkir belanja enggak masih tetap d tarik ongkos parkir terima kasih atas perhati nya
2034,salam sejahtera mau informasi dapat jalan rusak dapat jalan gatot krembangan tepat di belakang smpk angelus custos dapat bahaya jalan harap baik terimakasih
2035,network error gk logging
2036,jalan foto lokasi belah jalan tol tambak sawah pondok tjandra indah arah giant pondok tjandra arah politeknik yg tambak sawah minta untuk segera di tindak lanjut banyak kendara lalu lalang jalan bukan warga pondok tjandra tapi jg wiguna rungkut lain sedikit kendara lewat jalan lubang bahkan saat ambil gambar banyak orang tidak sadar depan ada jalan lubang sangat rawan sekali jadi celaka sekali lg saya minta untuk segera tindak lanjut jalan agar tidak menganggu kendara lewat jalan terimakasih banyak moga direspon
2037,jalan bintang diponggo tepat tiga depan ciputra world selokan ada tutup saya khawatir kendara motor bila malam tidak sengaja masuk selokan agar buat pagar permanen tutup selokan terima kasih
2038,sapawargasby pak bu pusat tunjung plaza apa jasa layan sim keliling ada khawatir antri di tunjung plaza pada kapasitas tweet bpk ardi ikut
2039,banggasurabaya min mau tanya sim corner yg tp buka ga hari dan syarat panjang sim apa aja terimakasih
2040,mind info sim keliling hari stay mana nggeh
2041,air kedung anyar gang 1 ga keluar sama sekali kalo keluar mulai jam 10 malem keciilll banget keluar parah jam 2 udah mampet jaya mohon segera direspon kasih solusi baik makasih
2042,sapawargasby tempat lebih mulya banding masjid sampai2 orang rebah jenak aja usir mohon bijak e ingat bulan ramadhan bnyk yg istirahat
2043,tentang kali rusakkali panjang jalan bronggalan tambang boyo alami rusa parah utama dinding kali banyak longsor sini temu rusa parah tepat seberang indomaret bronggalan sudah hancur tidak layak tidak layak juga bahaya saat musim hujan dapat rusak dampak banjir harap adalah musim kemarau lebih baik kali baik dinding dinding tidak bahaya longsor banjir atas tindak lanjut keluh ini saya ucap terima kasih
2044,sapawargasby min mau tanya sudah input alamat tempat kok tetap muncul topik instansi kategori cara balas tanggap dr media center tolong info cara input dan cara balas makasih
2045,layan e ktp datang jam 13 30 jam 14 45 blm layan padahal byk kerja camat alas listrik sedang padam
2046,air pdam nomor langgan 5390333 nyala minggu lebih sudah telpon call center pdam kali kali hari 3-4 x sekarang teknisi ga dateng-dateng waktu telpon bilang kan bantu cek bagi kait minta bantu ditindaklanjuti segerakita aja g pernah telat bayar tagih gilir masalah kok lama lamin tangan minta sekali
2047,cuaca mulai terik tetap semangat
2048,jalan lubang bahaya kendara daerah kutisari
2049,jalan lubang cukup besar bahaya kendara motor khusus malam hari jalan kutisari utara vii depan kantor p p a t bengkel winners alamat kutisari utara vii 42
2050,keluarga urus balik nama tok d hasil hibah lurah bulak bulan januari 2017 hingga ini ada hasil pihak lurah pak didik pak kardji selalu minta berkas tidak masuk akal saling lempar tanggung jawab rasa ping pong kami telah lampir surat hibah seluruh saudara telah tuju balik nama tok d sebut a n saudara2 telah bagi sendiri2 hibah tanah dengan mudah d balik nama lurah kenapa milik yg blm selesai urus hingga 1th
2051,jalan lubang bahaya kendara sepeda motor lintas lokasi hujan jalan genang air jadi lubang terlalu lihat apalag saat kondisi malam haritolong segera baik terima kasih
2052,jalan tidak rata seberang apartment metropolis jalan raya tenggilis baik tingkat nyaman kendara terima kasih
2053,jalan rusak jl genteng durasim mohon baik terima kasih
2054,jalan rusak medok asri barat iv pas tikung toko candra as
2055,buka le pijet ng kunu yo onok le
2056,min besok warga umum bole ikut upacara
2057,jalan lubang jalan kinibalu deket jalan pacu kuda
2058,maksud kayak tampung kucing yg dijalan2 gitu lo min kayak pondok ayom satwa gitu min
2059,website resmi lowong kerja disurabaya apa sih min aku bingung nih soal banyak banget websitenya takut hoax makasih min jadi anggota dishub command center iku pns ta
2060,jalan lubang depan rumah sakit unda wetan tentu ganggu bahaya guna jalan
2061,sore mau lapor rusa jalan empat arief rakhman hakim-menur pumpungan dekat warung soto cak muin lubang sama februari lalu baik rusak besar lubang sekarang 40 x 30 cm mohon ke instansi wenang terima kasih
2062,e100ss sapawargasby ya sekian lama tutup gorong yg ambles jemur andayani arah a yani beri barrier siapa yg tanggung jawab
2063,selamat siang ibu walikota surabaya saya hormat sy guru sd honorer surabaya sy keluh cair dana bosnas bopda dr dinas didik surabaya kesan lambat sy smp msh terima gaji utk bln april hny tengah pny perlu yg sangat desak pny keluarga yg nafkah gaji sy umk tp knp spt tolong jangan spt ini kami bingung cr pinjeman dmn krn sdh terlalu sering sy pinjam utk tutup blm gaji terima kasih
2064,sapawargasby suroboyo bus yg operasi brp unit
2065,saat ada blc pakal kok tutup pak
2066,tanggal 31 mei 2018 besok ingat hjks agenda apa apa aja nih sapawargasby
2067,sapawargasby sim corner siola apa buka
2068,warga ktp surabaya sapawargasby beasiswa
2069,selamat pagi mimin sorry mau tanya hari sabtu besok layan dispendukcapil surabaya buka buka jam berapa terima kasih
2070,selamat malam mau tanya ada lowong kerja dinas madam bakar surabaya ijazah smk lulus tahun 2018 ada apa syarat mana tempat daftar
2071,tanggal 4 mei 2018 urus surat ahli waris syarat buat sertifikat tanah program ptsl lurah serta keluarga saksi lurah laku sidang sudah selesai lurah waktu camat tiap hari kok selalu dikecamtan sukomanunggal minta tanda tangan pak camat kok tugas camat selalu bilang pak camat ada mau keluh apa benar pak camat sukomanunggal tiap hari ke kecamtan surat ahli waris tidak jadi
2072,jalan rusak bolong apabila baik bahaya guna jalan khusus sepeda motor sepeda itu jalan bolong tidak cepat di baik makin lebar makin besar makin bahaya pada malam hari akan juga bahaya
2073,mohon informasi nik 3515181909860002 atas nama moch jaka lesmana sudjatmoko nik 2578054201880001 atas nama ericha deviyanti kapan ktp elnya jadi sudah sering tanya camat tegalsari jawab selalu saya butuh ktp el mohon bantu
2074,sapawargasby kalo di web media center tidak lapor malah muncul ini mungkin baharu mungkin salah tolong info terimakasih
2075,klo asli anak surabaya n mondok n sklah lumajang biza gk n smp hafal 6 juz biza gk di bls mksih
2076,sapawargasby 3578162302830001
2077,buah papan tunjuk jalan tutup pohon tidak baca guna jalan mohon di tindak lanjut terima kasih
2078,ada tugas kemarin yg rumah lur hehe skrg masalah gabisa verifikasi data pasien situs ehealth surabaya apa pake browser firefox min
2079,sejak awal puasa air pdam keluar pukul 01-03 margoyoso 2 32 kel kedungdoro kec tegalsari surabaya 60261 paksa tunggu tengah malam hingga subuh padahal pagi kantor mohon perhati ibu tk
2080,selamat sore mau tanya bagaimana cara minta bantu dinas bersih bersih selokan salur air got bagi sebut kampung mampet alir biasa air muncul buih seperti lemak sekal cium aroma sedap banyak nyamuk jadi awal beberapa rumah habis renovasi bersih selokan bahan material bangun masuk selo langsung buat tutup beberapa untuk tumpu kayu atas selokan bilang ketua rt responya iya baik ada kerja bakti eh malah kerja bakti cuman motong pohon rumput sekal sih selokan cuman lihat tidak ecek mana jadi sumbat
2081,sapawargasby mau lapor nih min jalan lubang depan rumah sakit unda wetan tentu ganggu bahkan bahaya jalan tsb
2082,jalan rusak lubang dapat bahaya kendara sepeda motor
2083,ni masalah e-ktp nik 3578085209990005 urus ktp sejal 31 oktober 2016 camat gubeng beri tanda terima mohon cetak ktp elektronik situ terang ambil ktp - 2 bulan tepat 31 desember 2016 waktu baru bisa ambil ktp bulan januari 2017 sampai sana nyata ktp masih jadi lalu kesana bulan april masih tetap jadi kemudian kesana bulan oktober masih tetap jadi akhir kesana bulan desember waktu suruh bawa fotokopi kk tanda terima ktp jadi 10 hari tepet tanggal 14 desember 2017 kesana suruh siola ktp bisa cetak ketika siola laku rekam biometrik dari awal padahal sudah pernah laku rekam kantor camat gubeng rekam siola dapat surat terang suruh lagi 6 bulan ecek data rekam ingin tanya ketika masalah ktp sya diberitahu sejak awal saya perlu bolak-balik akhir tidak dapat hasil lalu urus ktp di camat gubeng memang lama dan bagaimana ktp saya
2084,bank sampah nya mana
2085,pingin numpak tp gak ero mandek e nang endi mosok ngenteni nang bungur min
2086,klo mau naik hrs bawa sampah plastik dlu trus lgsung d ksih tugas yg d dlm bus gak
2087,td yg bawa kartu kartu ap y min klau naik pkai bayar aj bsa kn
2088,berapa lama nunggu halte bus datang maksud brp menit sekali bus lintas halte
2089,mohon maaf soal thr yg sesuai atur bisa lapor mana kerja hampir tahun thr kasih 250rb bukan syukur hanya minta hak suami penuh terima kasih
2090,mohon informasi bagaimana cara urus surat pindah masuk kota surabaya daerah asal pacitan
2091,hello apa ada jawab di perintah kota surabaya ada sistem catat izin e100ss jokowi
2092,terimakasih bapak ibu kalo mmg buka sila tp kalo larang tlg mending tutup si ini gerah lihat jelas2 rambu tp tetap sj langgar
2093,se7 daerah mem jg benowo kok agk kurang bgtu perhati pd daerah cukup padat rame bahkan sering macet
2094,kalo surat ambil kartu keluarga rusak hilang terus apa saya laku tetap ambil surat ambil urus awal
2095,mohon informasi ingin tanya status e-ktp hal karena e-ktp jadi tanggal 8 mei hingga ini belum ambil ktp sebut datang camat tugas nya bilang mesin nya rusak nomor ktp 3578160809940003mohon tindak lanjut terima kasih
2096,sapawargasby mohon info utk minta fogging db mana di tempat sdh 2 - 3 warga yg positif db putar jemursari gg l sd gg vlll maturnuwun
2097,sapawargasby naik bus suroboyo bisa halte mana kah
2098,kedungdoro tiap toko punya area parkir tukang parkir sendiri kalo salah parkir trs pindah parkir tetep minta uang parkir 5rb pas keluar toko gak jadi beli tetep minta uang parkir 5rb gak beli apa2 udah keluar uang 10rb
2099,jalan lubang rusak jalan cukup sempit dapat bahaya guna jalan khusus malam hari lebih gelap agak susah lihat
2100,jancok aq dibijuk i lurah simoketo wes tak belan mbolos kerjo gawe ngurus pindah kawin lho kok sulit 2 hari blm slesai berkas wes lengkap tp alasane lurahne rapat padahal aq eroh lurane ijek tas teko lungguh ijenan nang ruangane
2101,banggasurabaya min temen tah rsi suroboyo pasien inap bpjs kasih batas nginep cuman 3 hari onok aturane tah min mohon info jadi budheku suruh pulang padahal bom sembuh penyakite opo rek nyowoe digae dulinan mohon pencerahane yo min
2102,kena sampah saya lewat jalan raya panjang jiwo permai arah jalan raya kali rungkut sya lihat kali daerah sangat kotor banyak sampah mohon ditindaklanjuti terima kasih
